2 9.868173719232205e-02 9.715448475838293e-02
3 3.405219657152790e-02 4.312423370024508e-02
4 1.479238971851885e-02 1.709045147861843e-02
5 7.732588052312632e-03 8.557376846265006e-03
6 4.634222372289361e-03 3.556845878182233e-03
7 3.279365688631509e-03 1.411113323714964e-03
8 2.480836724176237e-03 6.188140824465695e-04
9 2.009002603200260e-03 2.563829699665666e-04
10 1.818164869369699e-03 1.050137923750636e-04
11 1.817221343360125e-03 4.262004205166102e-05
12 2.041297485890572e-03 1.723131194068887e-05
13 2.366129012594931e-03 7.506593033181784e-06
14 2.992030450042494e-03 3.139579264927938e-06
15 3.730119956858891e-03 1.448872625877919e-06
16 5.237963749584595e-03 4.991305841637998e-07
17 9.031114716549820e-03 2.086589706607287e-07
18 1.270398407646304e-02 1.152203609250340e-07
19 2.275796008994656e-02 3.748294336737675e-08
20 3.661785071048716e-02 1.263375414055780e-08
21 6.802862965943962e-02 5.921013842024309e-09
22 1.396903058018077e-01 2.688340633841513e-09
23 2.655514005275639e-01 8.145815176737278e-10
24 6.208891716409380e-01 4.078933796487795e-10
25 1.220211954194217e+00 2.224838163317920e-10
26 3.538203079308947e+00 5.674416507908915e-11
27 7.044120110695542e+00 2.515676453786714e-11
28 1.669587530580329e+01 7.969770505299611e-12
29 4.172937666458509e+01 7.023464905418458e-12
30 9.126193720367847e+01 1.733232689510885e-12
31 3.084953573548580e+02 1.220825809769515e-12
32 6.952319126283081e+02 2.450319496133452e-13
33 2.195916279208800e+03 1.971787970766005e-13
34 6.405487400624320e+03 7.440036612765265e-14
35 2.598182786888936e+04 4.651576385695408e-14
36 5.367361722460828e+04 1.367725704530280e-14
37 2.049126316580845e+05 1.965538526943302e-15
38 5.216632914717613e+05 1.096597135255682e-15
39 1.796591492181048e+06 2.978246519977082e-16
40 7.093114558443030e+06 1.816209893924327e-16
41 2.368271203917409e+07 4.504332064426141e-17
42 8.296598129090211e+07 1.713991524843351e-17
43 2.997369864756560e+08 2.234234144102820e-17
44 1.083565137481227e+09 4.967073570729995e-18
45 4.512776077547022e+09 5.896202677217644e-19
46 1.585997318475539e+10 3.107651492045256e-19
47 8.400896069071559e+10 1.448682755636936e-19
48 2.253433295744677e+11 6.294077925580088e-20
49 1.135646352658547e+12 7.564203773577050e-20
50 5.720189504875098e+12 8.631706406485600e-20
